experiment,duration_dp,solution_dp,optimal_dp,message_dp,duration_iqcp,solution_iqcp,optimal_iqcp,message_iqcp,duration,solution,optimal,message,duration_miqcp,solution_miqcp,optimal_miqcp,message_miqcp,duration_greedy,solution_greedy,optimal_greedy,message_greedy,n_nodes,solution_rollout,final_damage,time_taken,optimal_rollout,diff_dp_rollout,diff_iqcp_rollout,diff_ilp_rollout,diff_miqcp_rollout,diff_greedy_rollout
15,847.0070028305054,"[-1, 6, 12, 21, 19, 2]",38.0,Done!,58.091557264328,"[-1, 6, 12, 21, 19, 2]",38.0,Done!,197.25004124641418,"[-1, 6, 12, 21, 19, 2]",38.0,Done!,86400.1261754036,,,ERROR: Runner exceded the timeout limit,0.005280733108520508,"[-1, 7, 6, 28]",37,Done!,40,"[6, 7, 28]",3,0.22785114299995257,37,-1.0,-1.0,-1.0,,0
16,1160.6931722164154,"[-1, 9, 7, 11, 18, 19, 28]",36.0,Done!,60.15849757194519,"[-1, 25, 11, 27]",36.0,Done!,220.47335624694824,"[-1, 25, 11, 27]",36.0,Done!,86400.16460990906,,,ERROR: Runner exceded the timeout limit,0.005175113677978516,"[-1, 25, 11, 27]",36,Done!,40,"[25, 11, 27]",4,0.21805725300009726,36,0.0,0.0,0.0,,0
17,86400.32417345047,,,ERROR: Runner exceded the timeout limit,76.00001788139343,"[-1, 20, 29, 1, 35]",39.0,Done!,132.47759294509888,"[-1, 1, 35, 20, 29]",39.0,Done!,47.098084926605225,"[-1, 29, 1, 20, 35, 0]",39.0,Done!,0.006530284881591797,"[-1, 1, 20, 29, 35]",39,Done!,40,"[1, 35, 20, 29]",1,0.241318038999907,39,,0.0,0.0,0.0,0
18,78285.79343485832,"[-1, 25, 12, 24, 27]",37.0,Done!,77.32853865623474,"[-1, 25, 16, 24, 27]",37.0,Done!,224.45089483261108,"[-1, 25, 16, 24, 27]",37.0,Done!,86400.1407251358,,,ERROR: Runner exceded the timeout limit,0.005238533020019531,"[-1, 4, 22, 15, 20]",36,Done!,40,"[25, 12, 27, 24]",3,0.36364376500000617,37,0.0,0.0,0.0,,1
19,6526.234141588211,"[-1, 36, 28]",35.0,Done!,64.79414653778076,"[-1, 36]",35.00000000000001,Done!,234.160418510437,"[-1, 36, 28]",35.0,Done!,86400.14132547379,,,ERROR: Runner exceded the timeout limit,0.004363536834716797,"[-1, 28]",34,Done!,40,"[36, 28]",5,0.2799588970001423,35,0.0,-7.105427357601002e-15,0.0,,1
20,759.0653560161591,"[-1, 3, 35, 6, 21, 23, 7, 18]",29.0,Done!,912.317643404007,"[-1, 6, 21, 37, 7, 23]",29.0,Done!,540.4872374534607,"[-1, 6, 21, 1, 5, 2, 34]",29.0,Done!,86400.13261938095,,,ERROR: Runner exceded the timeout limit,0.004883289337158203,"[-1, 6, 12, 5]",28,Done!,40,"[10, 12, 5, 4]",12,0.28152757299994846,28,-1.0,-1.0,-1.0,,0
21,210.8774094581604,"[-1, 14, 2, 11, 22, 30]",31.0,Done!,162.65208864212036,"[-1, 14, 2, 11, 22, 30]",31.0,Done!,318.6489095687866,"[-1, 14, 11, 22, 2, 30]",31.0,Done!,86400.13386774063,,,ERROR: Runner exceded the timeout limit,0.004438877105712891,"[-1, 14, 20, 25, 27]",29,Done!,40,"[14, 11, 2, 22, 30]",9,0.3357840490000399,31,0.0,0.0,0.0,,2
22,7105.166697740555,"[-1, 24, 22, 23, 11, 28, 35]",38.0,Done!,57.69869875907898,"[-1, 24, 23, 22, 38, 8, 3]",38.0,Done!,251.57748293876648,"[-1, 24, 23, 22, 38, 3, 8]",38.0,Done!,86400.13503742218,,,ERROR: Runner exceded the timeout limit,0.005163431167602539,"[-1, 38, 11, 36, 13]",36,Done!,40,"[24, 22, 23, 38, 3, 8]",2,0.4287862190001306,38,0.0,0.0,0.0,,2
23,729.3524255752563,"[-1, 37, 2, 39, 18, 19, 30]",38.0,Done!,58.24234652519226,"[-1, 37, 18, 2, 39, 30, 19]",38.0,Done!,291.66989302635193,"[-1, 37, 39, 18, 2, 30, 19]",38.0,Done!,86400.16030478477,,,ERROR: Runner exceded the timeout limit,0.005182027816772461,"[-1, 29, 6]",35,Done!,40,"[37, 39, 2, 18, 30, 19]",2,0.5957536359999267,38,0.0,0.0,0.0,,3
24,158.90096259117126,"[-1, 13, 4, 11, 36, 24]",34.0,Done!,91.67254877090454,"[-1, 13, 4, 36, 11, 24]",34.0,Done!,319.4405686855316,"[-1, 13, 36, 4, 11, 24]",34.0,Done!,86400.13130712509,,,ERROR: Runner exceded the timeout limit,0.005732059478759766,"[-1, 13, 36, 24]",31,Done!,40,"[14, 26, 1, 24]",6,0.29887037399998917,34,0.0,0.0,0.0,,3
25,2010.434309720993,"[-1, 25, 8]",34.0,Done!,65.93297553062439,"[-1, 25, 8]",34.0,Done!,297.85724782943726,"[-1, 25, 8]",34.0,Done!,34203.16027593613,"[-1, 25, 8]",34.0,Done!,0.0045621395111083984,"[-1, 25, 8]",34,Done!,40,"[25, 8]",6,0.16382278000014594,34,0.0,0.0,0.0,0.0,0
26,2330.9193391799927,"[-1, 2, 23, 31, 24, 0, 27]",38.0,Done!,58.38368630409241,"[-1, 2, 31, 23, 24, 0, 27]",38.0,Done!,181.58627033233643,"[-1, 2, 23, 31, 24, 0, 27]",38.0,Done!,86400.1291255951,,,ERROR: Runner exceded the timeout limit,0.006039142608642578,"[-1, 38, 19]",34,Done!,40,"[2, 23, 31, 24, 25, 27, 37, 16]",3,0.6100711710000724,37,-1.0,-1.0,-1.0,,3
27,1175.0526938438416,"[-1, 27, 1, 5, 13, 19, 4, 31, 39]",36.0,Done!,141.499657869339,"[-1, 27, 5, 1, 13, 19, 39, 31, 4]",36.0,Done!,477.1927983760834,"[-1, 27, 1, 5, 13, 19, 39, 31, 4]",36.0,Done!,86400.13061785698,,,ERROR: Runner exceded the timeout limit,0.00548100471496582,"[-1, 33, 0, 9, 38]",33,Done!,40,"[27, 33, 9, 0]",5,0.26946246900001825,35,-1.0,-1.0,-1.0,,2
28,147.89943647384644,"[-1, 15, 23, 33, 34]",33.0,Done!,59.577576637268066,"[-1, 15, 23, 33, 34]",33.0,Done!,278.31914591789246,"[-1, 15, 23, 33, 34]",33.0,Done!,86400.13459610939,,,ERROR: Runner exceded the timeout limit,0.004889965057373047,"[-1, 17, 21, 2]",31,Done!,40,"[15, 23, 33, 34]",7,0.3350974079999105,33,0.0,0.0,0.0,,2
29,5.812347173690796,"[-1, 36, 0, 31, 21, 6, 7, 34]",33.0,Done!,87.8402726650238,"[-1, 36, 0, 31, 21, 6, 34, 7]",33.0,Done!,317.9741349220276,"[-1, 36, 31, 0, 6, 21, 7, 34]",33.0,Done!,86400.12745070457,,,ERROR: Runner exceded the timeout limit,0.00500798225402832,"[-1, 36, 37]",32,Done!,40,"[36, 0, 31, 21, 6, 34, 7]",7,0.49369057400008387,33,0.0,0.0,0.0,,1
30,805.7392823696136,"[-1, 11, 2, 21]",32.0,Done!,58.891531467437744,"[-1, 11, 2, 21]",32.0,Done!,259.0281364917755,"[-1, 11, 2, 21]",32.0,Done!,86400.18809342384,,,ERROR: Runner exceded the timeout limit,0.004794597625732422,"[-1, 11, 2, 21]",32,Done!,40,"[11, 2, 21]",8,0.2548003360000166,32,0.0,0.0,0.0,,0
31,1909.8805825710297,"[-1, 39, 2, 5, 21, 31, 32]",38.0,Done!,52.66419768333435,"[-1, 39, 2, 31, 28, 5]",38.0,Done!,176.47686529159546,"[-1, 39, 5, 28, 21, 2]",38.0,Done!,86400.1451177597,,,ERROR: Runner exceded the timeout limit,0.0061647891998291016,"[-1, 2, 28, 13, 30]",35,Done!,40,"[39, 2, 21, 31, 5, 32]",2,0.4034360759999345,38,0.0,0.0,0.0,,3
32,907.8676054477692,"[-1, 30, 22, 6, 8, 26, 35]",34.0,Done!,79.06791853904724,"[-1, 30, 22, 21, 19, 31]",34.0,Done!,293.41959142684937,"[-1, 30, 22, 21, 31, 19]",34.0,Done!,86400.08237552643,,,ERROR: Runner exceded the timeout limit,0.006002664566040039,"[-1, 18, 21, 25]",33,Done!,40,"[30, 22, 21, 31, 19]",6,0.4140837080001347,34,0.0,0.0,0.0,,1
33,3774.7429122924805,"[-1, 26, 28, 3, 8, 4, 6, 15]",33.0,Done!,100.92551684379578,"[-1, 26, 28, 3, 8, 4, 6, 15]",33.0,Done!,302.6445698738098,"[-1, 26, 28, 3, 8, 6, 15, 4]",33.0,Done!,86400.14010310173,,,ERROR: Runner exceded the timeout limit,0.005621433258056641,"[-1, 29, 31, 0]",32,Done!,40,"[29, 31, 0]",8,0.19841707700015832,32,-1.0,-1.0,-1.0,,0
34,1964.590090751648,"[-1, 36, 9, 11, 33]",34.0,Done!,136.314377784729,"[-1, 36, 11, 23]",34.0,Done!,394.497843503952,"[-1, 36, 11, 23]",34.0,Done!,86400.1159043312,,,ERROR: Runner exceded the timeout limit,0.005652427673339844,"[-1, 36, 23, 3]",33,Done!,40,"[36, 9, 23, 3]",6,0.2814097139998921,34,0.0,0.0,0.0,,1
