experiment,duration_dp,solution_dp,optimal_dp,duration_iqcp,solution_iqcp,optimal_iqcp,duration,solution,optimal,duration_miqcp,solution_miqcp,optimal_miqcp,duration_greedy,solution_greedy,optimal_greedy,n_nodes,solution_rollout,final_damage,time_taken,optimal_rollout,diff_iqcp_rollout,diff_ilp_rollout,diff_greedy_rollout
15,19938.966321229935,"[-1, 28, 7, 13]",36.0,68.48938298225403,"[-1, 28, 7, 13]",36.0,240.73659229278564,"[-1, 28, 7, 13]",36.0,,,,0.004904508590698242,"[-1, 28, 7, 13]",36,40,"[28, 13, 7]",4,3.863436426000135,36,0.0,0.0,0
16,430.3257336616516,"[-1, 3, 35, 28, 14]",34.0,58.67364048957825,"[-1, 28, 3, 35, 14]",34.0,262.8848626613617,"[-1, 28, 35, 3, 14]",34.0,,,,0.004883527755737305,"[-1, 28, 13]",33,40,"[3, 35, 28, 14]",6,3.997740021000027,34,0.0,0.0,1
17,3930.608211994171,"[-1, 1, 33, 35, 2]",36.0,58.51028561592102,"[-1, 1, 35, 33, 2]",36.0,241.10886907577515,"[-1, 1, 33, 35, 2]",36.0,,,,0.004731655120849609,"[-1, 33, 29]",35,40,"[1, 35, 33, 2]",4,3.09971067399988,36,0.0,0.0,1
18,3804.9753289222717,"[-1, 12, 9, 4, 23, 33]",38.0,57.792312145233154,"[-1, 12, 9, 4, 33, 23]",38.0,132.3369653224945,"[-1, 12, 9, 4, 33, 23]",38.0,,,,0.005341529846191406,"[-1, 12, 9, 4, 23, 33]",38,40,"[12, 37, 16]",2,3.3338710369998807,38,0.0,0.0,0
19,4533.969429254532,"[-1, 3, 33, 15, 32]",34.0,43.429264545440674,"[-1, 27, 3]",34.0,184.5443115234375,"[-1, 27, 3]",34.0,,,,0.004767417907714844,"[-1, 27, 3]",34,40,"[27, 33, 4]",6,3.6266725899999983,34,0.0,0.0,0
20,86402.9425394535,,,75.78371858596802,"[-1, 2, 9]",36.0,272.9898133277893,"[-1, 2, 9]",36.0,,,,0.004824638366699219,"[-1, 2, 9]",36,40,"[9, 2]",4,6.337554598999986,36,0.0,0.0,0
21,,,,148.48570466041565,"[-1, 2, 6, 36]",46.0,742.7717871665955,"[-1, 2, 6, 36]",46.0,,,,0.005364179611206055,"[-1, 2, 6, 36]",46,50,"[2, 6, 36]",4,10.779287027999999,46,0.0,0.0,0
22,,,,68.10165238380432,"[-1, 20, 49, 8]",49.0,188.78203177452087,"[-1, 20, 49, 8]",49.0,,,,0.0055255889892578125,"[-1, 8, 20]",48,50,"[20, 49, 8]",1,18.90327787299998,49,0.0,0.0,1
23,,,,163.8062858581543,"[-1, 22, 35, 34, 6]",48.0,625.0752663612366,"[-1, 22, 35, 44, 4]",48.0,,,,0.0056612491607666016,"[-1, 22, 34, 6]",47,50,"[22, 35, 44, 4]",2,14.88857756099992,48,0.0,0.0,1
24,,,,132.75861263275146,"[-1, 5, 6, 25, 21, 37, 40]",48.0,429.6481246948242,"[-1, 5, 6, 25, 21, 40, 37]",48.0,,,,0.006070613861083984,"[-1, 5, 21, 25, 37, 40]",46,50,"[5, 6, 40, 37, 21, 25]",2,12.061165394,48,0.0,0.0,2
25,,,,671.9995968341827,"[-1, 16, 1, 8, 35]",44.0,2373.3998057842255,"[-1, 1, 8, 4, 40, 38, 11]",44.0,,,,0.005779743194580078,"[-1, 8, 35]",42,50,"[16, 1, 8, 35]",6,7.889713658999881,44,0.0,0.0,2
26,,,,130.10777974128723,"[-1, 12, 36, 26]",45.0,602.7177453041077,"[-1, 12, 36, 26]",45.0,,,,0.005635738372802734,"[-1, 12, 26]",44,50,"[12, 36, 26]",5,22.798347784999805,45,0.0,0.0,1
27,,,,163.0827407836914,"[-1, 19, 1]",46.0,833.2176752090454,"[-1, 19, 1]",46.0,,,,0.005720376968383789,"[-1, 19, 1]",46,50,"[19, 1]",4,6.770585715000152,46,0.0,0.0,0
28,,,,133.62734746932983,"[-1, 1, 14, 11, 2]",47.0,517.2774863243103,"[-1, 1, 14, 11, 2]",47.0,,,,0.00579380989074707,"[-1, 1, 2, 14]",46,50,"[1, 11, 2, 35]",4,9.860017121000055,46,-1.0,-1.0,0
29,86400.2552587986,,,116.9343101978302,"[-1, 32, 6, 35]",47.0,448.17441725730896,"[-1, 32, 35, 6]",47.0,,,,0.005574226379394531,"[-1, 32, 35, 6]",47,50,"[32, 35, 6]",3,18.70661677499993,47,0.0,0.0,0
30,86400.26027560234,,,155.3806722164154,"[-1, 8, 48, 38]",44.0,761.4939849376678,"[-1, 8, 48, 38]",44.0,,,,0.00602412223815918,"[-1, 8, 48, 38]",44,50,"[8, 48, 38]",6,8.057683656000108,44,0.0,0.0,0
31,,,,636.51029920578,"[-1, 73, 6]",71.0,829.7664711475372,,,,,,0.00725102424621582,"[-1, 73, 6]",71,75,"[73, 6]",4,58.799351029000036,71,0.0,,0
32,,,,801.9834418296814,"[-1, 5, 12]",71.0,990.5053334236145,,,,,,0.007124900817871094,"[-1, 5, 12]",71,75,"[5, 12]",4,81.51705551500004,71,0.0,,0
33,,,,862.7642335891724,"[-1, 68, 30, 53]",72.0,1056.4614882469177,,,,,,0.007498025894165039,"[-1, 68, 53]",71,75,"[68, 30, 53]",3,110.2485093539999,72,0.0,,1
34,,,,797.5779385566711,"[-1, 56, 45, 73]",74.0,997.3909087181091,,,,,,0.007439851760864258,"[-1, 73, 56, 45]",74,75,"[73, 56, 45]",1,61.721119603000034,74,0.0,,0
35,,,,737.5245146751404,"[-1, 52, 12]",71.0,947.6931436061859,,,,,,0.007419109344482422,"[-1, 52, 12]",71,75,"[52, 12]",4,84.95775331200002,71,0.0,,0
36,,,,12748.104264736176,"[-1, 54, 40, 29, 21, 25, 27, 58]",65.0,1018.6010630130768,,,,,,0.007631540298461914,"[-1, 29, 67, 70, 45]",59,75,"[54, 29, 25, 21, 58, 27]",11,12.165388053999777,64,-1.0,,5
37,,,,859.7922012805939,"[-1, 5, 63, 50, 29]",69.0,1054.3817796707153,,,,,,0.006953716278076172,"[-1, 5, 29]",65,75,"[50, 63, 5, 29]",6,103.11255505200006,69,0.0,,4
38,,,,966.4740946292877,"[-1, 44, 2, 7]",73.0,1181.8140380382538,,,,,,0.006745815277099609,"[-1, 2, 7]",72,75,"[50, 44, 53]",2,134.3628551480001,73,0.0,,1
39,,,,499.41710233688354,"[-1, 42, 38, 63, 31, 33]",69.0,660.4823682308197,,,,,,0.007153034210205078,"[-1, 42, 63, 33, 31, 46]",68,75,"[42, 63, 38, 31, 33]",6,27.87743063500011,69,0.0,,1
40,,,,1306.3808846473694,"[-1, 69, 73, 3, 60, 14, 30]",69.0,895.2078011035919,,,,,,0.007636547088623047,"[-1, 73, 3, 6, 58, 72, 1]",62,75,"[69, 73, 8, 66, 54, 47, 1, 58, 72]",7,20.987071854000078,68,-1.0,,6
41,,,,3565.7875645160675,"[-1, 58, 29, 38]",99.0,4040.3332669734955,,,,,,0.00911855697631836,"[-1, 38]",97,100,"[58, 29, 38]",1,462.6229370440001,99,0.0,,2
42,,,,2059.77290225029,"[-1, 46, 10]",97.0,3022.924403190613,,,,,,0.00872802734375,"[-1, 46, 10]",97,100,"[42, 18, 62, 70]",3,223.05828067699986,97,0.0,,0
43,,,,2591.8490533828735,"[-1, 12, 68, 98, 35]",96.0,3170.6341514587402,,,,,,0.00899052619934082,"[-1, 68, 12, 98, 93]",95,100,"[12, 68, 98, 35]",4,397.416770113,96,0.0,,1
