experiment,duration_dp,solution_dp,optimal_dp,duration_iqcp,solution_iqcp,optimal_iqcp,duration,solution,optimal,duration_miqcp,solution_miqcp,optimal_miqcp,duration_greedy,solution_greedy,optimal_greedy,n_nodes,solution_rollout,final_damage,time_taken,optimal_rollout,diff_dp_rollout,diff_iqcp_rollout,diff_ilp_rollout,diff_miqcp_rollout,diff_greedy_rollout
21,210.8774094581604,"[-1, 14, 2, 11, 22, 30]",31.0,162.65208864212036,"[-1, 14, 2, 11, 22, 30]",31.0,318.6489095687866,"[-1, 14, 11, 22, 2, 30]",31.0,86400.13386774063,,,0.004438877105712891,"[-1, 14, 20, 25, 27]",29,40,"[14, 11, 2, 22, 30]",9,0.31568341000001965,31,0.0,0.0,0.0,,2
22,7105.166697740555,"[-1, 24, 22, 23, 11, 28, 35]",38.0,57.69869875907898,"[-1, 24, 23, 22, 38, 8, 3]",38.0,251.57748293876648,"[-1, 24, 23, 22, 38, 3, 8]",38.0,86400.13503742218,,,0.005163431167602539,"[-1, 38, 11, 36, 13]",36,40,"[23, 38, 11, 13, 36]",3,0.29766913100002057,37,-1.0,-1.0,-1.0,,1
23,729.3524255752563,"[-1, 37, 2, 39, 18, 19, 30]",38.0,58.24234652519226,"[-1, 37, 18, 2, 39, 30, 19]",38.0,291.66989302635193,"[-1, 37, 39, 18, 2, 30, 19]",38.0,86400.16030478477,,,0.005182027816772461,"[-1, 29, 6]",35,40,"[37, 29]",4,0.1698644170000989,36,-2.0,-2.0,-2.0,,1
24,158.90096259117126,"[-1, 13, 4, 11, 36, 24]",34.0,91.67254877090454,"[-1, 13, 4, 36, 11, 24]",34.0,319.4405686855316,"[-1, 13, 36, 4, 11, 24]",34.0,86400.13130712509,,,0.005732059478759766,"[-1, 13, 36, 24]",31,40,"[14, 26, 1, 24]",6,0.2911353119998239,34,0.0,0.0,0.0,,3
25,2010.434309720993,"[-1, 25, 8]",34.0,65.93297553062439,"[-1, 25, 8]",34.0,297.85724782943726,"[-1, 25, 8]",34.0,34203.16027593613,"[-1, 25, 8]",34.0,0.0045621395111083984,"[-1, 25, 8]",34,40,"[25, 8]",6,0.15294984300021497,34,0.0,0.0,0.0,0.0,0
26,2330.9193391799927,"[-1, 2, 23, 31, 24, 0, 27]",38.0,58.38368630409241,"[-1, 2, 31, 23, 24, 0, 27]",38.0,181.58627033233643,"[-1, 2, 23, 31, 24, 0, 27]",38.0,86400.1291255951,,,0.006039142608642578,"[-1, 38, 19]",34,40,"[2, 23, 38, 11]",3,0.2690604629999598,37,-1.0,-1.0,-1.0,,3
27,1175.0526938438416,"[-1, 27, 1, 5, 13, 19, 4, 31, 39]",36.0,141.499657869339,"[-1, 27, 5, 1, 13, 19, 39, 31, 4]",36.0,477.1927983760834,"[-1, 27, 1, 5, 13, 19, 39, 31, 4]",36.0,86400.13061785698,,,0.00548100471496582,"[-1, 33, 0, 9, 38]",33,40,"[27, 33, 0, 9]",5,0.24188960699984818,35,-1.0,-1.0,-1.0,,2
28,147.89943647384644,"[-1, 15, 23, 33, 34]",33.0,59.577576637268066,"[-1, 15, 23, 33, 34]",33.0,278.31914591789246,"[-1, 15, 23, 33, 34]",33.0,86400.13459610939,,,0.004889965057373047,"[-1, 17, 21, 2]",31,40,"[15, 23, 34, 33]",7,0.2996534490000613,33,0.0,0.0,0.0,,2
29,5.812347173690796,"[-1, 36, 0, 31, 21, 6, 7, 34]",33.0,87.8402726650238,"[-1, 36, 0, 31, 21, 6, 34, 7]",33.0,317.9741349220276,"[-1, 36, 31, 0, 6, 21, 7, 34]",33.0,86400.12745070457,,,0.00500798225402832,"[-1, 36, 37]",32,40,"[36, 37]",8,0.15696132100015348,32,-1.0,-1.0,-1.0,,0
30,805.7392823696136,"[-1, 11, 2, 21]",32.0,58.891531467437744,"[-1, 11, 2, 21]",32.0,259.0281364917755,"[-1, 11, 2, 21]",32.0,86400.18809342384,,,0.004794597625732422,"[-1, 11, 2, 21]",32,40,"[11, 2, 21]",8,0.24491991000013513,32,0.0,0.0,0.0,,0
