experiment,duration_dp,solution_dp,optimal_dp,duration_iqcp,solution_iqcp,optimal_iqcp,duration,solution,optimal,duration_miqcp,solution_miqcp,optimal_miqcp,duration_greedy,solution_greedy,optimal_greedy,n_nodes,solution_rollout,final_damage,time_taken,optimal_rollout,diff_dp_rollout,diff_iqcp_rollout,diff_ilp_rollout,diff_miqcp_rollout,diff_greedy_rollout
21,,,,148.48570466041565,"[-1, 2, 6, 36]",46.0,742.7717871665955,"[-1, 2, 6, 36]",46.0,,,,0.005364179611206055,"[-1, 2, 6, 36]",46,50,"[2, 6, 36]",4,0.5271669240000847,46,,0.0,0.0,,0
22,,,,68.10165238380432,"[-1, 20, 49, 8]",49.0,188.78203177452087,"[-1, 20, 49, 8]",49.0,,,,0.0055255889892578125,"[-1, 8, 20]",48,50,"[20, 49, 8]",1,1.2063966299992899,49,,0.0,0.0,,1
23,,,,163.8062858581543,"[-1, 22, 35, 34, 6]",48.0,625.0752663612366,"[-1, 22, 35, 44, 4]",48.0,,,,0.0056612491607666016,"[-1, 22, 34, 6]",47,50,"[35, 22, 4, 6]",3,1.098927175999961,47,,-1.0,-1.0,,0
24,,,,132.75861263275146,"[-1, 5, 6, 25, 21, 37, 40]",48.0,429.6481246948242,"[-1, 5, 6, 25, 21, 40, 37]",48.0,,,,0.006070613861083984,"[-1, 5, 21, 25, 37, 40]",46,50,"[6, 11, 10, 14, 43]",2,1.1419232599992029,48,,0.0,0.0,,2
25,,,,671.9995968341827,"[-1, 16, 1, 8, 35]",44.0,2373.3998057842255,"[-1, 1, 8, 4, 40, 38, 11]",44.0,,,,0.005779743194580078,"[-1, 8, 35]",42,50,"[1, 8, 35]",7,0.5521282020008584,43,,-1.0,-1.0,,1
26,,,,130.10777974128723,"[-1, 12, 36, 26]",45.0,602.7177453041077,"[-1, 12, 36, 26]",45.0,,,,0.005635738372802734,"[-1, 12, 26]",44,50,"[12, 36, 26]",5,1.01048579899998,45,,0.0,0.0,,1
27,,,,163.0827407836914,"[-1, 19, 1]",46.0,833.2176752090454,"[-1, 19, 1]",46.0,,,,0.005720376968383789,"[-1, 19, 1]",46,50,"[19, 1]",4,0.4773435850001988,46,,0.0,0.0,,0
28,,,,133.62734746932983,"[-1, 1, 14, 11, 2]",47.0,517.2774863243103,"[-1, 1, 14, 11, 2]",47.0,,,,0.00579380989074707,"[-1, 1, 2, 14]",46,50,"[1, 11, 2, 35]",4,0.835503100999631,46,,-1.0,-1.0,,0
29,86400.2552587986,,,116.9343101978302,"[-1, 32, 6, 35]",47.0,448.17441725730896,"[-1, 32, 35, 6]",47.0,,,,0.005574226379394531,"[-1, 32, 35, 6]",47,50,"[32, 35, 6]",3,1.00128094899992,47,,0.0,0.0,,0
30,86400.26027560234,,,155.3806722164154,"[-1, 8, 48, 38]",44.0,761.4939849376678,"[-1, 8, 48, 38]",44.0,,,,0.00602412223815918,"[-1, 8, 48, 38]",44,50,"[8, 48, 38]",6,0.6090492450002785,44,,0.0,0.0,,0
