experiment,duration_dp,solution_dp,optimal_dp,message_dp,duration_iqcp,solution_iqcp,optimal_iqcp,message_iqcp,duration,solution,optimal,message,duration_miqcp,solution_miqcp,optimal_miqcp,message_miqcp,duration_greedy,solution_greedy,optimal_greedy,message_greedy,n_nodes,solution_rollout,final_damage,time_taken,optimal_rollout,diff_dp_rollout,diff_iqcp_rollout,diff_ilp_rollout,diff_miqcp_rollout,diff_greedy_rollout
11,756.5456953048706,"[-1, 38, 26, 11, 15, 7, 8]",36.0,Done!,78.92625069618225,"[-1, 38, 26, 11, 15, 8, 7]",36.0,Done!,336.39172744750977,"[-1, 38, 32, 33, 8, 7]",36.0,Done!,,,,,0.005055904388427734,"[-1, 26, 35, 4]",31,Done!,40,"[0, 33, 7, 5]",13,13.244245305999812,27,-9.0,-9.0,-9.0,,-4
12,10313.590175151825,"[-1, 34]",36.0,Done!,57.66978430747986,"[-1, 34]",36.0,Done!,124.70194244384766,"[-1, 34]",36.0,Done!,,,,,0.0047380924224853516,"[-1, 34]",36,Done!,40,[34],4,15.020937979999871,36,0.0,0.0,0.0,,0
13,86400.27601623535,,,ERROR: Runner exceded the timeout limit,92.59026265144348,"[-1, 7, 24]",38.0,Done!,196.18166255950928,"[-1, 24, 7]",38.0,Done!,,,,,0.00480341911315918,"[-1, 24, 7]",38,Done!,40,"[5, 22, 14]",6,11.88931252600014,34,,-4.0,-4.0,,-4
14,2821.605602502823,"[-1, 13, 6, 12]",39.0,Done!,49.555662393569946,"[-1, 13, 6, 12]",39.0,Done!,110.51520371437073,"[-1, 13, 12, 6]",39.0,Done!,,,,,0.005032777786254883,"[-1, 13, 6, 12]",39,Done!,40,"[2, 29, 23, 0, 37, 20]",10,20.256452119000187,30,-9.0,-9.0,-9.0,,-9
15,19938.966321229935,"[-1, 28, 7, 13]",36.0,Done!,68.48938298225403,"[-1, 28, 7, 13]",36.0,Done!,240.73659229278564,"[-1, 28, 7, 13]",36.0,Done!,,,,,0.004904508590698242,"[-1, 28, 7, 13]",36,Done!,40,"[28, 13, 7]",4,6.557505712999955,36,0.0,0.0,0.0,,0
16,430.3257336616516,"[-1, 3, 35, 28, 14]",34.0,Done!,58.67364048957825,"[-1, 28, 3, 35, 14]",34.0,Done!,262.8848626613617,"[-1, 28, 35, 3, 14]",34.0,Done!,,,,,0.004883527755737305,"[-1, 28, 13]",33,Done!,40,"[11, 35, 0, 10, 23, 34, 4]",12,28.219819694999842,28,-6.0,-6.0,-6.0,,-5
17,3930.608211994171,"[-1, 1, 33, 35, 2]",36.0,Done!,58.51028561592102,"[-1, 1, 35, 33, 2]",36.0,Done!,241.10886907577515,"[-1, 1, 33, 35, 2]",36.0,Done!,,,,,0.004731655120849609,"[-1, 33, 29]",35,Done!,40,"[1, 0, 35, 31, 26, 32, 13]",6,32.97268891499971,34,-2.0,-2.0,-2.0,,-1
18,3804.9753289222717,"[-1, 12, 9, 4, 23, 33]",38.0,Done!,57.792312145233154,"[-1, 12, 9, 4, 33, 23]",38.0,Done!,132.3369653224945,"[-1, 12, 9, 4, 33, 23]",38.0,Done!,,,,,0.005341529846191406,"[-1, 12, 9, 4, 23, 33]",38,Done!,40,"[37, 0, 6, 35]",4,18.274361763999877,36,-2.0,-2.0,-2.0,,-2
19,4533.969429254532,"[-1, 3, 33, 15, 32]",34.0,Done!,43.429264545440674,"[-1, 27, 3]",34.0,Done!,184.5443115234375,"[-1, 27, 3]",34.0,Done!,,,,,0.004767417907714844,"[-1, 27, 3]",34,Done!,40,"[11, 21, 9, 3]",2,7.367637152000043,38,4.0,4.0,4.0,,4
20,86402.9425394535,,,ERROR: Runner exceded the timeout limit,75.78371858596802,"[-1, 2, 9]",36.0,Done!,272.9898133277893,"[-1, 2, 9]",36.0,Done!,,,,,0.004824638366699219,"[-1, 2, 9]",36,Done!,40,"[1, 0, 2, 9]",3,22.44214306799995,37,,1.0,1.0,,1
